Cat_Name,Device,Group,Day,Order,Scale,Preference,Pref2,FIV
Mazda,Laser,2,2,2,2,NA,,Pos
Mazda,Laser,2,3,4,2,NA,,Pos
Mazda,Laser,2,4,4,2,NA,,Pos
Mazda,Laser,2,5,3,2,NA,,Pos
Mazda,Laser,2,6,3,2,NA,,Pos
Mazda,Ball,2,1,3,1,NA,,Pos
Mazda,Ball,2,2,3,1,NA,,Pos
Mazda,Ball,2,3,2,1,NA,,Pos
Mazda,Ball,2,4,2,0,NA,,Pos
Mazda,Ball,2,5,4,0,NA,,Pos
Mazda,Ball,2,6,4,0,NA,,Pos
Mazda,Human,2,1,4,1,NA,,Pos
Mazda,Human,2,2,4,0,NA,,Pos
Mazda,Human,2,3,3,2,NA,,Pos
Mazda,Human,2,4,3,2,NA,,Pos
Mazda,Human,2,5,2,2,NA,,Pos
Mazda,Human,2,6,2,2,NA,,Pos
Mazda,Scratching,2,1,5,,Box,2. Box,Pos
Mazda,Scratching,2,2,5,,Box,2. Box,Pos
Mazda,Scratching,2,3,5,,Box,2. Box,Pos
Mazda,Scratching,2,4,5,,Box,2. Box,Pos
Mazda,Scratching,2,5,5,,Box,2. Box,Pos
Mazda,Scratching,2,6,5,,Box,2. Box,Pos
Pontiac,Brush,1,1,1,,Both,3. Both,Pos
Pontiac,Brush,1,2,1,,Both,3. Both,Pos
Pontiac,Brush,1,3,1,,Glove,2. Glovebrush,Pos
Pontiac,Brush,1,4,1,,Glove,2. Glovebrush,Pos
Pontiac,Brush,1,5,1,,Glove,2. Glovebrush,Pos
Pontiac,Brush,1,6,1,,Glove,2. Glovebrush,Pos
Pontiac,Laser,1,1,2,2,NA,,Pos
Pontiac,Laser,1,2,2,2,NA,,Pos
Pontiac,Laser,1,3,4,2,NA,,Pos
Pontiac,Laser,1,4,4,2,NA,,Pos
Pontiac,Laser,1,5,3,2,NA,,Pos
Pontiac,Laser,1,6,3,2,NA,,Pos
Pontiac,Ball,1,1,3,2,NA,,Pos
